CANDIDATE_NAME,CONSTITUENCY_CODE,CONSTITUENCY_NAME,EVM_VOTES,PARTY,POSTAL VOTES,STATE_CODE,STATE_NAME,TOTAL_VOTES,VOTING_PERCENTAGE
SRI RAMA CHANDRA SINGAREDDY,21,KADAPA,3917,Bharatiya Janata Party,168,S01,ANDHRA PRADESH,4085,0.33
AMEEN PEERAN SHAIK,21,KADAPA,571,Ambedkar National Congress,2,S01,ANDHRA PRADESH,573,0.05
LAKSHMI REDDY PUTHA,21,KADAPA,365,Rajyadhikara Party,3,S01,ANDHRA PRADESH,368,0.03
PEDAKALA VARALAKSHMI,21,KADAPA,705,Pyramid Party of India,11,S01,ANDHRA PRADESH,716,0.06
CHADIPIRALA SIVA NARAYANA REDDY,21,KADAPA,445,Navarang Congress Party,1,S01,ANDHRA PRADESH,446,0.04
SIVA CHANDRA REDDY KOMMA,21,KADAPA,1398,Anna YSR Congress Party,24,S01,ANDHRA PRADESH,1422,0.12
GONA PURUSHOTTAM REDDY,21,KADAPA,1131,Independent,3,S01,ANDHRA PRADESH,1134,0.09
JAKKU CHENNA KRISHNA REDDY,21,KADAPA,578,Independent,1,S01,ANDHRA PRADESH,579,0.05
NYAMATULLA SHAIK,21,KADAPA,755,Independent,4,S01,ANDHRA PRADESH,759,0.06
PEDDIREDDY SHOWRY SUBHASH REDDY,21,KADAPA,865,Independent,0,S01,ANDHRA PRADESH,865,0.07
VENU GOPAL RACHINENI,21,KADAPA,1748,Independent,0,S01,ANDHRA PRADESH,1748,0.14
CHALAMALASETTY SUNIL,6,KAKINADA,508361,Telugu Desam,3531,S01,ANDHRA PRADESH,511892,41.46
MALLIPUDI SRI RAMACHANDRA MURTHY (RAMBABU),6,KAKINADA,8601,Indian National Congress,39,S01,ANDHRA PRADESH,8640,0.7
YALLA VENKATA RAMA MOHAN RAO (DORABABU),6,KAKINADA,9456,Bharatiya Janata Party,140,S01,ANDHRA PRADESH,9596,0.78
VANGA GEETHAVISWANATH,6,KAKINADA,534655,Yuvajana Sramika Rythu Congress Party,2975,S01,ANDHRA PRADESH,537630,43.54
APPALAKONDA VANGALAPUDI,6,KAKINADA,2997,Mundadugu Praja Party,0,S01,ANDHRA PRADESH,2997,0.24
B. GEETHA,6,KAKINADA,1687,Praja Shanthi Party,1,S01,ANDHRA PRADESH,1688,0.14
GODUGU SATYANARAYANA,6,KAKINADA,1723,Communist Party of India  (Marxist-Leninist)  (Liberation),1,S01,ANDHRA PRADESH,1724,0.14
JYOTHULA VENKATESWARA RAO,6,KAKINADA,132124,Janasena Party,524,S01,ANDHRA PRADESH,132648,10.74
DONAM NEELAKANTAM,6,KAKINADA,980,All India Praja Party,0,S01,ANDHRA PRADESH,980,0.08
PEDDIMSETTI. VENKATESWARARAO,6,KAKINADA,812,Jana Jagruti Party,3,S01,ANDHRA PRADESH,815,0.07
VASAMSETTY VENKATARAMANA,6,KAKINADA,1012,All India Forward Bloc,2,S01,ANDHRA PRADESH,1014,0.08
SATHI VEERALAKSHMI,6,KAKINADA,1117,Pyramid Party of India,2,S01,ANDHRA PRADESH,1119,0.09
ANKADI SATHIBABU,6,KAKINADA,1381,Independent,0,S01,ANDHRA PRADESH,1381,0.11
KAKILETI RAVINDRA,6,KAKINADA,3325,Independent,2,S01,ANDHRA PRADESH,3327,0.27
MEDISETTI VIJAYA KUMAR,6,KAKINADA,2051,Independent,0,S01,ANDHRA PRADESH,2051,0.17
AHMED ALI KHAN,18,KURNOOL,36229,Indian National Congress,89,S01,ANDHRA PRADESH,36318,3.07
KOTLA JAYA SURYA PRAKASH REDDY,18,KURNOOL,450787,Telugu Desam,3324,S01,ANDHRA PRADESH,454111,38.39
DR. PARTHASARATHI VALMIKI,18,KURNOOL,24107,Bharatiya Janata Party,241,S01,ANDHRA PRADESH,24348,2.06
K. PRABHAKARA REDDY,18,KURNOOL,18835,Communist Party of India  (Marxist),101,S01,ANDHRA PRADESH,18936,1.6
AYUSHMAN DOCTOR SANJEEV KUMAR,18,KURNOOL,600650,Yuvajana Sramika Rythu Congress Party,2364,S01,ANDHRA PRADESH,603014,50.97
ABDUL WARIS,18,KURNOOL,7263,SOCIAL DEMOCRATIC PARTY OF INDIA,4,S01,ANDHRA PRADESH,7267,0.61
KASULA RAJASEKHAR,18,KURNOOL,1223,Pyramid Party of India,3,S01,ANDHRA PRADESH,1226,0.1
DANDU SESHU YADAV,18,KURNOOL,3266,Samajwadi Party,2,S01,ANDHRA PRADESH,3268,0.28
M. NAGANNA,18,KURNOOL,1283,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2,S01,ANDHRA PRADESH,1285,0.11
S.MD. SHAFATH,18,KURNOOL,1222,Rayalaseema Rashtra Samithi,1,S01,ANDHRA PRADESH,1223,0.1
G SANJEEVA KUMAR,18,KURNOOL,2099,Samajwadi Forward Bloc,2,S01,ANDHRA PRADESH,2101,0.18
HATCHOLI THOMAS,18,KURNOOL,1489,Independent,7,S01,ANDHRA PRADESH,1496,0.13
DEVARAPOGU MADDILETY,18,KURNOOL,1696,Independent,1,S01,ANDHRA PRADESH,1697,0.14
BALIJA. SHIVA KUMAR,18,KURNOOL,2741,Independent,0,S01,ANDHRA PRADESH,2741,0.23
T. BEECHUPALLY,18,KURNOOL,9776,Independent,0,S01,ANDHRA PRADESH,9776,0.83
P.V. SRIHARI,18,KURNOOL,6549,Independent,3,S01,ANDHRA PRADESH,6552,0.55
KONAKALLA NARAYANA RAO,11,MACHILIPATNAM,509887,Telugu Desam,2725,S01,ANDHRA PRADESH,512612,41.19
GUDIVAKA RAMANJANEYULU,11,MACHILIPATNAM,6374,Bharatiya Janata Party,107,S01,ANDHRA PRADESH,6481,0.52
GOLLU KRISHNA,11,MACHILIPATNAM,12233,Indian National Congress,77,S01,ANDHRA PRADESH,12310,0.99
BALASHOWRY VALLABHANENI,11,MACHILIPATNAM,567592,Yuvajana Sramika Rythu Congress Party,5258,S01,ANDHRA PRADESH,572850,46.03
PERAM SIVA NAGESWARA RAO,11,MACHILIPATNAM,3625,Republican Party of India (A),2,S01,ANDHRA PRADESH,3627,0.29
BANDREDDI RAMAKRISHNA,11,MACHILIPATNAM,112566,Janasena Party,876,S01,ANDHRA PRADESH,113442,9.11
YARLAGADDA RAMA MOHANA RAO,11,MACHILIPATNAM,1016,Bahujan Maha Party,1,S01,ANDHRA PRADESH,1017,0.08
VALLURU VENKATESWARA RAO,11,MACHILIPATNAM,824,Pyramid Party of India,2,S01,ANDHRA PRADESH,826,0.07
GANDHI DHANEKULA,11,MACHILIPATNAM,846,Independent,0,S01,ANDHRA PRADESH,846,0.07
NADAKUDITI NAGA GAYATHRI,11,MACHILIPATNAM,772,Independent,2,S01,ANDHRA PRADESH,774,0.06
GUDIVAKA VENKATA NAGA BASAVA RAO,11,MACHILIPATNAM,894,Independent,1,S01,ANDHRA PRADESH,895,0.07
VIJAYA LAKSHMI CHALAPAKA,11,MACHILIPATNAM,4776,Independent,13,S01,ANDHRA PRADESH,4789,0.38
ADINARAYANA INTY,17,NANDYAL,8794,Bharatiya Janata Party,272,S01,ANDHRA PRADESH,9066,0.7
JANGITE LAKSHMI NARASIMHA YADAV,17,NANDYAL,14313,Indian National Congress,107,S01,ANDHRA PRADESH,14420,1.11
POCHA . BRAHMANANDA REDDY,17,NANDYAL,715024,Yuvajana Sramika Rythu Congress Party,5864,S01,ANDHRA PRADESH,720888,55.49
MANDRA SIVANANDA REDDY,17,NANDYAL,466869,Telugu Desam,3900,S01,ANDHRA PRADESH,470769,36.24
D. P. JAMAL BASHA.,17,NANDYAL,3981,Anna YSR Congress Party,108,S01,ANDHRA PRADESH,4089,0.31
PULA. NAGAMADDILETY,17,NANDYAL,931,Ambedkar National Congress,6,S01,ANDHRA PRADESH,937,0.07
D. MAHAMMAD RAFI .,17,NANDYAL,645,B. C. United Front,4,S01,ANDHRA PRADESH,649,0.05
RUDDIREDDY RADHAKRISHNA,17,NANDYAL,667,All India Forward Bloc,6,S01,ANDHRA PRADESH,673,0.05
S.P.Y. REDDY,17,NANDYAL,38568,Janasena Party,303,S01,ANDHRA PRADESH,38871,2.99
S. A. INDUMATHI,17,NANDYAL,842,Independent,5,S01,ANDHRA PRADESH,847,0.07
ELLURI. BHUPAL.,17,NANDYAL,667,Independent,1,S01,ANDHRA PRADESH,668,0.05
K.P. KAMBAGIRISWAMY.,17,NANDYAL,765,Independent,2,S01,ANDHRA PRADESH,767,0.06
JESTADI SUDHAKAR,17,NANDYAL,4542,Independent,0,S01,ANDHRA PRADESH,4542,0.35
I.V. PAKKIR REDDY,17,NANDYAL,3103,Independent,0,S01,ANDHRA PRADESH,3103,0.24
POLURU GURUVAIAH.,17,NANDYAL,6099,Independent,0,S01,ANDHRA PRADESH,6099,0.47
BHUMA KISHOR REDDY,17,NANDYAL,4848,Independent,4,S01,ANDHRA PRADESH,4852,0.37
B.C. RAMANATHA REDDY,17,NANDYAL,2543,Independent,0,S01,ANDHRA PRADESH,2543,0.2
DR. LAKSHMI KANTHA REDDY CHITLA,17,NANDYAL,1428,Independent,1,S01,ANDHRA PRADESH,1429,0.11
VANGALA PARAMESWARA REDDY.,17,NANDYAL,2380,Independent,2,S01,ANDHRA PRADESH,2382,0.18
C. SURENDRA NATH REDDY,17,NANDYAL,1708,Independent,0,S01,ANDHRA PRADESH,1708,0.13
KANNA LAKSHMI NARAYANA,14,NARASARAOPET,15255,Bharatiya Janata Party,231,S01,ANDHRA PRADESH,15486,1.08
PAKKALA SURIBABU,14,NARASARAOPET,10977,Indian National Congress,56,S01,ANDHRA PRADESH,11033,0.77
RAYAPATI SAMBASIVARAO,14,NARASARAOPET,589344,Telugu Desam,2211,S01,ANDHRA PRADESH,591555,41.15
LAVU SRI KRISHNA DEVARAYALU,14,NARASARAOPET,740509,Yuvajana Sramika Rythu Congress Party,5048,S01,ANDHRA PRADESH,745557,51.87
ALLU VENKATAREDDY,14,NARASARAOPET,2890,Pyramid Party of India,4,S01,ANDHRA PRADESH,2894,0.2
KANAKAM SRINIVASARAO,14,NARASARAOPET,883,National Nava Kranthi Party,4,S01,ANDHRA PRADESH,887,0.06
NAYUB KAMAL SHAIK,14,NARASARAOPET,50713,Janasena Party,295,S01,ANDHRA PRADESH,51008,3.55
SURABHI DEVASAHAYAM,14,NARASARAOPET,418,Indian Union Muslim League,0,S01,ANDHRA PRADESH,418,0.03
KANTE SAYANNA,14,NARASARAOPET,364,Independent,1,S01,ANDHRA PRADESH,365,0.03
GADDALA VENU,14,NARASARAOPET,619,Independent,3,S01,ANDHRA PRADESH,622,0.04
DURGAMPUDI RAMIREDDY,14,NARASARAOPET,2684,Independent,1,S01,ANDHRA PRADESH,2685,0.19
PARIMI NARASIMHA RAO,14,NARASARAOPET,998,Independent,2,S01,ANDHRA PRADESH,1000,0.07
REDDYBOINA PRASANNA KUMAR,14,NARASARAOPET,1382,Independent,1,S01,ANDHRA PRADESH,1383,0.1
KANUMURU BAPIRAJU,9,NARSAPURAM,13809,Indian National Congress,132,S01,ANDHRA PRADESH,13941,1.18
KANUMURU RAGHU RAMA KRISHNA RAJU,9,NARSAPURAM,444376,Yuvajana Sramika Rythu Congress Party,4858,S01,ANDHRA PRADESH,449234,38.14
PYDIKONDALA MANIKYALA RAO,9,NARSAPURAM,12154,Bharatiya Janata Party,260,S01,ANDHRA PRADESH,12414,1.05
V.V. SIVA RAMA RAJU (KALAVAPUDI SIVA),9,NARSAPURAM,414547,Telugu Desam,2011,S01,ANDHRA PRADESH,416558,35.37
YELLA VENU GOPAL RAO,9,NARSAPURAM,4284,Nava Samaj Party,2,S01,ANDHRA PRADESH,4286,0.36
GANJI PURNIMA,9,NARSAPURAM,867,Republican Party of India (A),2,S01,ANDHRA PRADESH,869,0.07
GURUGUBILLI RAMBABU,9,NARSAPURAM,583,Marxist Communist Party of India (United),0,S01,ANDHRA PRADESH,583,0.05
G S RAJU,9,NARSAPURAM,3468,Samajwadi Party,3,S01,ANDHRA PRADESH,3471,0.29
DASARI KRISHNA MURTHY,9,NARSAPURAM,1603,India Praja Bandhu Party,0,S01,ANDHRA PRADESH,1603,0.14
NALLAM SURYA CHANDRA RAO,9,NARSAPURAM,2201,Pyramid Party of India,9,S01,ANDHRA PRADESH,2210,0.19
NAGABABU KONIDELA,9,NARSAPURAM,249188,Janasena Party,1614,S01,ANDHRA PRADESH,250802,21.3
K.A.PAUL,9,NARSAPURAM,3027,Praja Shanthi Party,19,S01,ANDHRA PRADESH,3046,0.26
GOTTUMUKKALA SHIVAJI,9,NARSAPURAM,1275,Independent,0,S01,ANDHRA PRADESH,1275,0.11
NALLI RAJESH,9,NARSAPURAM,2651,Independent,2,S01,ANDHRA PRADESH,2653,0.23
MEDAPATI VARAHALA REDDY,9,NARSAPURAM,2681,Independent,3,S01,ANDHRA PRADESH,2684,0.23
ADALA PRABHAKARA REDDY,22,NELLORE,677014,Yuvajana Sramika Rythu Congress Party,6816,S01,ANDHRA PRADESH,683830,53.13
CHANDRA RAJAGOPAL,22,NELLORE,18571,Communist Party of India  (Marxist),259,S01,ANDHRA PRADESH,18830,1.46
CHEVURU DEVAKUMAR REDDY,22,NELLORE,9973,Indian National Congress,48,S01,ANDHRA PRADESH,10021,0.78
BEEDA MASTHAN RAO,22,NELLORE,529571,Telugu Desam,5688,S01,ANDHRA PRADESH,535259,41.59
SANNAPUREDDY SURESH REDDY,22,NELLORE,12278,Bharatiya Janata Party,235,S01,ANDHRA PRADESH,12513,0.97
CHINNI VENKATESWARLU,22,NELLORE,836,Pyramid Party of India,5,S01,ANDHRA PRADESH,841,0.07
SHAIK MAHABOOB BASHA (MABU),22,NELLORE,1317,Republican Party of India (A),2,S01,ANDHRA PRADESH,1319,0.1
KANKANALA PENCHALA NAIDU,22,NELLORE,667,Independent,1,S01,ANDHRA PRADESH,668,0.05
NARASAPURAM PRASAD,22,NELLORE,2397,Independent,2,S01,ANDHRA PRADESH,2399,0.19
BUTTI NAGARAJU,22,NELLORE,1089,Independent,12,S01,ANDHRA PRADESH,1101,0.09
MEDA MALLA REDDY,22,NELLORE,597,Independent,1,S01,ANDHRA PRADESH,598,0.05
SUKAPALLI NAVEEN,22,NELLORE,1014,Independent,0,S01,ANDHRA PRADESH,1014,0.08
DR. S. SURESH BABU,22,NELLORE,1482,Independent,0,S01,ANDHRA PRADESH,1482,0.12
THOGANTI SREENIVASULU,16,ONGOLE,7587,Bharatiya Janata Party,642,S01,ANDHRA PRADESH,8229,0.61
MAGUNTA SREENIVASULU REDDY,16,ONGOLE,729344,Yuvajana Sramika Rythu Congress Party,9858,S01,ANDHRA PRADESH,739202,55.07
SIDDA RAGHAVA RAO,16,ONGOLE,516287,Telugu Desam,8064,S01,ANDHRA PRADESH,524351,39.06
DR SIRIVELLA PRASAD,16,ONGOLE,8001,Indian National Congress,138,S01,ANDHRA PRADESH,8139,0.61
KONDA PRAVEEN KUMAR,16,ONGOLE,805,Navodayam Party,6,S01,ANDHRA PRADESH,811,0.06
BELLAMKONDA SAIBABU,16,ONGOLE,29054,Janasena Party,325,S01,ANDHRA PRADESH,29379,2.19
MARAM SRINIVASA REDDY,16,ONGOLE,3253,Praja Shanthi Party,5,S01,ANDHRA PRADESH,3258,0.24
VENKATESAN BABURAO,16,ONGOLE,1068,India Praja Bandhu Party,5,S01,ANDHRA PRADESH,1073,0.08
KAVURI VENU BABU NAIDU,16,ONGOLE,564,Independent,1,S01,ANDHRA PRADESH,565,0.04
BILLA CHENNAIAH,16,ONGOLE,671,Independent,2,S01,ANDHRA PRADESH,673,0.05
MADHU YATTAPU,16,ONGOLE,1160,Independent,0,S01,ANDHRA PRADESH,1160,0.09
MOHAN AYYAPPA,16,ONGOLE,1451,Independent,0,S01,ANDHRA PRADESH,1451,0.11
VENKATESH VEPURI,16,ONGOLE,3208,Independent,4,S01,ANDHRA PRADESH,3212,0.24
NALLURI VIJAYA SRINIVASA RAO,8,RAJAHMUNDRY,12678,Indian National Congress,47,S01,ANDHRA PRADESH,12725,1.02
PARAVASTU SATYA GOPINATH DAS,8,RAJAHMUNDRY,12165,Bharatiya Janata Party,169,S01,ANDHRA PRADESH,12334,0.99
MAGANTI ROOPA,8,RAJAHMUNDRY,459100,Telugu Desam,1290,S01,ANDHRA PRADESH,460390,36.82
MARGANI BHARAT,8,RAJAHMUNDRY,578471,Yuvajana Sramika Rythu Congress Party,3553,S01,ANDHRA PRADESH,582024,46.55
AKULA SATYANARAYANA,8,RAJAHMUNDRY,155164,Janasena Party,643,S01,ANDHRA PRADESH,155807,12.46
GEDDAM DAVID NELSON BABU,8,RAJAHMUNDRY,1752,Ambedkarite Party of India,5,S01,ANDHRA PRADESH,1757,0.14
BANDARU RAJESWARA RAO,8,RAJAHMUNDRY,1034,Jana Jagruti Party,1,S01,ANDHRA PRADESH,1035,0.08
MEDA SRINIVAS,8,RAJAHMUNDRY,994,Rashtriya Praja Congress  (Secular),2,S01,ANDHRA PRADESH,996,0.08
SANGISETTI SRINIVASA RAO,8,RAJAHMUNDRY,1156,Pyramid Party of India,5,S01,ANDHRA PRADESH,1161,0.09
KURUVELLA BHANUCHANDAR,8,RAJAHMUNDRY,1242,Independent,0,S01,ANDHRA PRADESH,1242,0.1
KOLLAPU VENU,8,RAJAHMUNDRY,2868,Independent,1,S01,ANDHRA PRADESH,2869,0.23
P.V.MIDHUN REDDY,24,RAJAMPET,695277,Yuvajana Sramika Rythu Congress Party,6934,S01,ANDHRA PRADESH,702211,57.35
M.SHAJAHAN BASHA (JAHA),24,RAJAMPET,20959,Indian National Congress,191,S01,ANDHRA PRADESH,21150,1.73
D A SATHYA PRABHA,24,RAJAMPET,429710,Telugu Desam,4217,S01,ANDHRA PRADESH,433927,35.44
ASADI. VENKATADRI,24,RAJAMPET,3449,Rashtriya Krantikari Samajwadi Party,11,S01,ANDHRA PRADESH,3460,0.28
KARIMULLA KHAN PATTAN,24,RAJAMPET,1132,Navataram Party,3,S01,ANDHRA PRADESH,1135,0.09
KHADER VALI SHAIK,24,RAJAMPET,1555,Indian Union Muslim League,2,S01,ANDHRA PRADESH,1557,0.13
SYED MUKARRAM,24,RAJAMPET,33833,Janasena Party,153,S01,ANDHRA PRADESH,33986,2.78
NARESH KUMAR POOJALA,24,RAJAMPET,1761,Independent,7,S01,ANDHRA PRADESH,1768,0.14
PASUPULETI VENKATARAMANA ROYAL,24,RAJAMPET,3809,Independent,12,S01,ANDHRA PRADESH,3821,0.31
KINJARAPU RAM MOHAN NAIDU,2,SRIKAKULAM,529213,Telugu Desam,5331,S01,ANDHRA PRADESH,534544,46.19
DOLA JAGAN,2,SRIKAKULAM,13456,Indian National Congress,289,S01,ANDHRA PRADESH,13745,1.19
DUVVADA SRINIVAS,2,SRIKAKULAM,520931,Yuvajana Sramika Rythu Congress Party,6960,S01,ANDHRA PRADESH,527891,45.61
PERLA SAMBA MURTHY,2,SRIKAKULAM,7357,Bharatiya Janata Party,1033,S01,ANDHRA PRADESH,8390,0.72
MATTA SATISH CHAKRAVARTHY,2,SRIKAKULAM,1441,Pyramid Party of India,7,S01,ANDHRA PRADESH,1448,0.13
METTA RAMARAO,2,SRIKAKULAM,31319,Janasena Party,637,S01,ANDHRA PRADESH,31956,2.76
NAMBALLA KRISHNA MOHAN,2,SRIKAKULAM,4829,Independent,7,S01,ANDHRA PRADESH,4836,0.42
NAIDUGARI RAJASEKHAR,2,SRIKAKULAM,5151,Independent,5,S01,ANDHRA PRADESH,5156,0.45
BETHA VIVEKANANDA MAHARAJ,2,SRIKAKULAM,3814,Independent,4,S01,ANDHRA PRADESH,3818,0.33
CHINTAMOHAN,23,TIRUPATI,23926,Indian National Congress,113,S01,ANDHRA PRADESH,24039,1.83
DOCTOR DAGGUMATI SREEHARI RAO,23,TIRUPATI,20847,Bahujan Samaj Party,124,S01,ANDHRA PRADESH,20971,1.6
PANABAKA LAKSHMI,23,TIRUPATI,490605,Telugu Desam,3896,S01,ANDHRA PRADESH,494501,37.65
BALLI DURGA PRASAD RAO,23,TIRUPATI,717924,Yuvajana Sramika Rythu Congress Party,4953,S01,ANDHRA PRADESH,722877,55.03
BOMMI SRIHARI RAO,23,TIRUPATI,16001,Bharatiya Janata Party,124,S01,ANDHRA PRADESH,16125,1.23
KARRA SIVA (PYRAMID SIVA),23,TIRUPATI,998,Pyramid Party of India,5,S01,ANDHRA PRADESH,1003,0.08
NEERUGUTTU NAGESH M.A. PHILOSOPHY,23,TIRUPATI,912,Janapaalana Party (Democratic),1,S01,ANDHRA PRADESH,913,0.07
BOKKAM. RAMESH,23,TIRUPATI,1194,Viduthalai Chiruthaigal Katchi,1,S01,ANDHRA PRADESH,1195,0.09
VIRUVURU SUDHAKAR,23,TIRUPATI,995,Vishwa Jana Party,3,S01,ANDHRA PRADESH,998,0.08
M. SOLOMON,23,TIRUPATI,1563,Andhra Rastra Praja Samithi,0,S01,ANDHRA PRADESH,1563,0.12
KATTAMANCHI PRABHAKAR,23,TIRUPATI,1430,Independent,0,S01,ANDHRA PRADESH,1430,0.11
K.S. MUNIRATHNAM,23,TIRUPATI,2117,Independent,2,S01,ANDHRA PRADESH,2119,0.16
KILARU DILEEP,12,VIJAYAWADA,18411,Bharatiya Janata Party,93,S01,ANDHRA PRADESH,18504,1.45
KESINENI SRINIVAS (NANI),12,VIJAYAWADA,573929,Telugu Desam,1569,S01,ANDHRA PRADESH,575498,45.04
NARAHARISETTY. NARASIMHARAO.,12,VIJAYAWADA,16204,Indian National Congress,57,S01,ANDHRA PRADESH,16261,1.27
POTLURI.V.PRASAD ( P V P ),12,VIJAYAWADA,564174,Yuvajana Sramika Rythu Congress Party,2598,S01,ANDHRA PRADESH,566772,44.36
ANDUKURI VIJAYA BHASKAR,12,VIJAYAWADA,2457,India Praja Bandhu Party,0,S01,ANDHRA PRADESH,2457,0.19
DATLA LURDU MARY,12,VIJAYAWADA,433,Mundadugu Praja Party,1,S01,ANDHRA PRADESH,434,0.03
PADALA SIVA PRASAD,12,VIJAYAWADA,480,Navarang Congress Party,0,S01,ANDHRA PRADESH,480,0.04
MUTTAMSETTY PRASAD BABU,12,VIJAYAWADA,81416,Janasena Party,234,S01,ANDHRA PRADESH,81650,6.39
SEKHAR,12,VIJAYAWADA,683,Pyramid Party of India,2,S01,ANDHRA PRADESH,685,0.05
SK. RIYAZ,12,VIJAYAWADA,412,Indian Union Muslim League,0,S01,ANDHRA PRADESH,412,0.03
ANIL KUMAR MADDINENI,12,VIJAYAWADA,1049,Independent,0,S01,ANDHRA PRADESH,1049,0.08
DHANEKULA GANDHI,12,VIJAYAWADA,687,Independent,1,S01,ANDHRA PRADESH,688,0.05
NANDINI NALLAGHATLA,12,VIJAYAWADA,951,Independent,2,S01,ANDHRA PRADESH,953,0.07
BOLISETTY HARI BABU,12,VIJAYAWADA,1739,Independent,0,S01,ANDHRA PRADESH,1739,0.14
MOHAMMAD ISHAQ,12,VIJAYAWADA,1218,Independent,0,S01,ANDHRA PRADESH,1218,0.1
DAGGUBATI PURANDESWARI,4,VISAKHAPATNAM,33430,Bharatiya Janata Party,462,S01,ANDHRA PRADESH,33892,2.73
PEDADA. RAMANIKUMARI,4,VISAKHAPATNAM,14550,Indian National Congress,83,S01,ANDHRA PRADESH,14633,1.18
BHARAT MATHUKUMILLI,4,VISAKHAPATNAM,431093,Telugu Desam,1399,S01,ANDHRA PRADESH,432492,34.89
M V V SATYANARAYANA,4,VISAKHAPATNAM,433968,Yuvajana Sramika Rythu Congress Party,2938,S01,ANDHRA PRADESH,436906,35.24
GEORGE BANGARI,4,VISAKHAPATNAM,3027,Viduthalai Chiruthaigal Katchi,1,S01,ANDHRA PRADESH,3028,0.24
B. JAYA VENU GOPAL,4,VISAKHAPATNAM,1622,Pyramid Party of India,5,S01,ANDHRA PRADESH,1627,0.13
V.V. LAKSHMI NARAYANA,4,VISAKHAPATNAM,287072,Janasena Party,1802,S01,ANDHRA PRADESH,288874,23.3
ANMISH VARMA,4,VISAKHAPATNAM,1904,Independent,11,S01,ANDHRA PRADESH,1915,0.15
R. UDAYA GOWRI,4,VISAKHAPATNAM,1384,Independent,0,S01,ANDHRA PRADESH,1384,0.11
KOTHAPALLI GEETHA,4,VISAKHAPATNAM,1155,Independent,3,S01,ANDHRA PRADESH,1158,0.09
GAMPALA SOMASUNDARAM,4,VISAKHAPATNAM,1127,Independent,1,S01,ANDHRA PRADESH,1128,0.09
GANNU MALLAYYA,4,VISAKHAPATNAM,1311,Independent,2,S01,ANDHRA PRADESH,1313,0.11
DURGAPRASAD. GUNTU,4,VISAKHAPATNAM,2463,Independent,1,S01,ANDHRA PRADESH,2464,0.2
PULAPAKA RAJA SEKHAR,4,VISAKHAPATNAM,2294,Independent,0,S01,ANDHRA PRADESH,2294,0.19
ASHOK GAJAPATHI RAJU PUSAPATI,3,VIZIANAGARAM,527307,Telugu Desam,3075,S01,ANDHRA PRADESH,530382,43.55
ADIRAJU YEDLA,3,VIZIANAGARAM,15607,Indian National Congress,118,S01,ANDHRA PRADESH,15725,1.29
BELLANA CHANDRA SEKHAR,3,VIZIANAGARAM,573466,Yuvajana Sramika Rythu Congress Party,4952,S01,ANDHRA PRADESH,578418,47.49
SANYASI RAJU PAKALAPATI,3,VIZIANAGARAM,6902,Bharatiya Janata Party,364,S01,ANDHRA PRADESH,7266,0.6
P.V.A. ANANDA SAGAR,3,VIZIANAGARAM,4981,Samaanya Praja Party,2,S01,ANDHRA PRADESH,4983,0.41
CHIRANJEEVI LINGALA,3,VIZIANAGARAM,1261,Andhra Chaitanya Party,2,S01,ANDHRA PRADESH,1263,0.1
MUKKA SRINIVAS RAO,3,VIZIANAGARAM,33779,Janasena Party,413,S01,ANDHRA PRADESH,34192,2.81
LAGUDU. GOVINDA RAO,3,VIZIANAGARAM,787,Jana Jagruti Party,4,S01,ANDHRA PRADESH,791,0.06
SURYA BHAVANI. K,3,VIZIANAGARAM,822,Pyramid Party of India,8,S01,ANDHRA PRADESH,830,0.07
YELLA RAO SIYYADULA,3,VIZIANAGARAM,1010,Independent,0,S01,ANDHRA PRADESH,1010,0.08
DHANALAKOTI RAMANA,3,VIZIANAGARAM,1172,Independent,4,S01,ANDHRA PRADESH,1176,0.1
PENTAPATI RAJESH,3,VIZIANAGARAM,1461,Independent,1,S01,ANDHRA PRADESH,1462,0.12
IJJUROUTHU RAMUNAIDU,3,VIZIANAGARAM,4550,Independent,3,S01,ANDHRA PRADESH,4553,0.37
VENKATA TRINDHA RAO VELURI,3,VIZIANAGARAM,6336,Independent,2,S01,ANDHRA PRADESH,6338,0.52
LOWANGCHA WANGLAT,2,ARUNACHAL EAST,80378,Indian National Congress,3557,S02,ARUNACHAL PRADESH,83935,28.57
MONGOL YOMSO,2,ARUNACHAL EAST,22160,People's Party of Arunachal,777,S02,ARUNACHAL PRADESH,22937,7.81
TAPIR GAO,2,ARUNACHAL EAST,148567,Bharatiya Janata Party,5316,S02,ARUNACHAL PRADESH,153883,52.38
BANDEY MILI,2,ARUNACHAL EAST,15304,Janata Dal  (Secular),654,S02,ARUNACHAL PRADESH,15958,5.43
C. C. SINGPHO,2,ARUNACHAL EAST,10955,Independent,538,S02,ARUNACHAL PRADESH,11493,3.91
KIREN RIJIJU,1,ARUNACHAL WEST,216494,Bharatiya Janata Party,9302,S02,ARUNACHAL PRADESH,225796,63.02
NABAM TUKI,1,ARUNACHAL WEST,49362,Indian National Congress,1591,S02,ARUNACHAL PRADESH,50953,14.22
SUBU KECHI,1,ARUNACHAL WEST,4633,People's Party of Arunachal,133,S02,ARUNACHAL PRADESH,4766,1.33
JARJUM ETE,1,ARUNACHAL WEST,41510,Janata Dal  (Secular),2410,S02,ARUNACHAL PRADESH,43920,12.26
